ID,ECO_ACT_ECO_ACT,ENV_OB_ID,CRITER_CRITER,LVL1_VAR,LVL1_VAL,LVL2_VAR,LVL2_VAL,LVL3_VAR,LVL3_VAL,LVL4_VAR,LVL4_VAL,SUBST
55,EA_C_MA,POL,POL_DEC_36,TYP_COMB,LIGNITE,COMB_RANGE,300-1000,COMB_UNIT,PCBOL,TYP_PLANT,Existing,dust
56,EA_C_MA,POL,POL_DNC_35,TYP_COMB,LIGNITE,COMB_RANGE,300-1000,COMB_UNIT,PCBOL,TYP_PLANT,New,dust
57,EA_C_MA,POL,POL_HEC_24,TYP_COMB,LIGNITE,COMB_RANGE,<100,COMB_UNIT,All Types,TYP_PLANT,Existing,HCI
58,EA_C_MA,POL,POL_HEC_26,TYP_COMB,LIGNITE,COMB_RANGE,100-300,COMB_UNIT,All Types,TYP_PLANT,Existing,HCI
59,EA_C_MA,POL,POL_HEC_26,TYP_COMB,LIGNITE,COMB_RANGE,>=1000,COMB_UNIT,PCBOL,TYP_PLANT,Existing,HCI
60,EA_C_MA,POL,POL_HEC_28,TYP_COMB,LIGNITE,COMB_RANGE,<100,COMB_UNIT,All Types,TYP_PLANT,Existing,HIF
61,EA_C_MA,POL,POL_HEC_30,TYP_COMB,LIGNITE,COMB_RANGE,100-300,COMB_UNIT,All Types,TYP_PLANT,Existing,HIF
62,EA_C_MA,POL,POL_HNC_25,TYP_COMB,LIGNITE,COMB_RANGE,>=1000,COMB_UNIT,PCBOL,TYP_PLANT,New,HCI
63,EA_C_MA,POL,POL_HNC_23,TYP_COMB,LIGNITE,COMB_RANGE,<100,COMB_UNIT,All Types,TYP_PLANT,New,HCI
64,EA_C_MA,POL,POL_HNC_25,TYP_COMB,LIGNITE,COMB_RANGE,100-300,COMB_UNIT,All Types,TYP_PLANT,New,HCI
65,EA_C_MA,POL,POL_HEC_26,TYP_COMB,LIGNITE,COMB_RANGE,300-1000,COMB_UNIT,PCBOL,TYP_PLANT,Existing,HCI
66,EA_C_MA,POL,POL_HNC_27,TYP_COMB,LIGNITE,COMB_RANGE,<100,COMB_UNIT,All Types,TYP_PLANT,New,HIF
67,EA_C_MA,POL,POL_HNC_29,TYP_COMB,LIGNITE,COMB_RANGE,100-300,COMB_UNIT,All Types,TYP_PLANT,New,HIF
68,EA_C_MA,POL,POL_HNC_25,TYP_COMB,LIGNITE,COMB_RANGE,300-1000,COMB_UNIT,PCBOL,TYP_PLANT,New,HCI
69,EA_C_MA,POL,POL_NEC_2,TYP_COMB,LIGNITE,COMB_RANGE,<100,COMB_UNIT,All Types,TYP_PLANT,Existing,NOX
70,EA_C_MA,POL,POL_NEC_4,TYP_COMB,LIGNITE,COMB_RANGE,100-300,COMB_UNIT,All Types,TYP_PLANT,Existing,NOX
71,EA_C_MA,POL,POL_HEC_30,TYP_COMB,LIGNITE,COMB_RANGE,>=1000,COMB_UNIT,PCBOL,TYP_PLANT,Existing,HIF
72,EA_C_MA,POL,POL_NNC_1,TYP_COMB,LIGNITE,COMB_RANGE,<100,COMB_UNIT,All Types,TYP_PLANT,New,NOX
