CONT_MEAS,CRITER,CRITER_DESCR,CRIT_UNIT,CRIT_U,CRIT_L,SUBST,COND_GHGU,COND_GHGL,COND_UNIT,ENGN_CATG,VEH_CATG,VEH_SCATG,POWER_L,POWER_U,IGN_TYP,EMS_STG,TYR_CLASS,ENGF_CLASS,VERF_EPREL,RM,RM_L,RM_U,COMBP_L,COMBP_U,OPH_L,TYP_COMB,COMB_UNIT,CALC_MEAS,TYP_PLANT,LADEN_L,LADEN_U,ENERGYV,CRITICALITY
BAT-AEL,DNSH_POL_NH3_NLOCF,Pollution from NH3 of new LOCF,MG/NM3         ,15,5,NH3         ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEL,DNSH_POL_NH3_ELOCF,Pollution from NH3 of existing LOCF,MG/NM3         ,15,5,NH3         ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEL,DNSH_POL_TOC,Pollution from Total Organic Carbon into water,MG/L           ,33,10,TOC         ,33,,T        ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEL,DNSH_POL_COD,Pollution from Chemical Oxygen Demand into water,MG/L           ,100,30,COD         ,10,,T        ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEL,DNSH_POL_TSS,Pollution from Total Suspended Solids into water,MG/L           ,35,5,TSS         ,35,,T        ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEL,DNSH_POL_TN,Pollution from Total Nitrogen into water,MG/L           ,25,5,N           ,25,,T        ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEL,DNSH_POL_TIN,Pollution from Total Inorganic Nitrogen into water,MG/L           ,20,5,IN          ,2,,T        ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEL,DNSH_POL_TP,Pollution from Total Phosphorous into water,MG/L           ,3,0.5,P           ,300,,KG       ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEL,DNSH_POL_AOX,Pollution from Adsorbable organically bound,MG/L           ,1,0.2,AOX         ,100,,KG       ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEL,DNSH_POL_CR,Pollution from Chromium into water,?G/L.          ,25,5,CR          ,25,,KG       ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEL,DNSH_POL_CU,Pollution from Copper into water,?G/L.          ,50,5,CU          ,5,,KG       ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEL,DNSH_POL_NI,Pollution from Nickel into water,?G/L.          ,50,5,NI          ,5,,KG       ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEL,DNSH_POL_ZN,Pollution from Zinc into water,?G/L.          ,300,20,ZN          ,30,,KG       ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
IMPL,DNSH_CCM_FDS,Emissions of chemicals manufactured from renewable feedstock,INDICATOR (Y/N),0,0,            ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
IMPL,DNSH_CCM_ABIO,Agricultural biomass�compliance,INDICATOR (Y/N),0,0,            ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
GHG,DNSH_CCM_ACE,Production of acetylene,TCO2E/T        ,0.851,0,            ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
GHG,DNSH_CCM_PROP,Production of propylene,TCO2E/T        ,0.851,0,            ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
GHG,DNSH_CCM_BUT,Production of butadiene,TCO2E/T        ,0.851,0,            ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
GHG,DNSH_CCM_MALK,"Production of mixed alkylbenzenes, mixed alkylnapthalenes",TCO2E/T        ,0.03,0,            ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
GHG,DNSH_CCM_CYHEX,Production of cyclohexane,TCO2E/T        ,0.03,0,            ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
GHG,DNSH_CCM_BENZ,Production of benzene,TCO2E/T        ,0.03,0,            ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
GHG,DNSH_CCM_TOL,Production of toluene,TCO2E/T        ,0.03,0,            ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
GHG,DNSH_CCM_OXYLOL,Production of o-xylene,TCO2E/T        ,0.03,0,            ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
GHG,DNSH_CCM_MXYLOL,Production of m-xylene,TCO2E/T        ,0.03,0,            ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
GHG,DNSH_CCM_ETHBENZ,Production of ethylbenzene,TCO2E/T        ,0.03,0,            ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
GHG,DNSH_CCM_CUME,Production of cumene,TCO2E/T        ,0.03,0,            ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
GHG,DNSH_CCM_BIPHEN,Production of biphenyls,TCO2E/T        ,0.03,0,            ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
GHG,DNSH_CCM_TERPHEN,Production of terphenyls,TCO2E/T        ,0.03,0,            ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
GHG,DNSH_CCM_VINTOL,Production of vinyltoluene,TCO2E/T        ,0.03,0,            ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
GHG,DNSH_CCM_VINCHL,Production of vinyl chloride,TCO2E/T        ,0.268,0,            ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
GHG,DNSH_CCM_ETHOX,Production of ethylene oxide,TCO2E/T        ,0.489,0,            ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
GHG,DNSH_CCM_MONGLYC,Production of monoethylene glycol,TCO2E/T        ,0.489,0,            ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEL,DNSH_POL_TVOC_FORALD,Emission of TVOC to air from formaldehyde production,MG/NM3         ,30,5,TVOC        ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEL,DNSH_POL_FORALD,Emission of Formaldehyde to air from formaldehyde production,MG/NM3         ,5,2,CH2O        ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEL,DNSH_POL_TVOC_EO,Emissions of organic compounds to air from the desorption of CO2 from the scrubbing medium used in the Ethylene Oxide plant,G/T            ,10,1,TVOC        ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEL,DNSH_POL_BENZ_PHE,Emissions of benzene to air from the production of phenol,MG/NM3         ,1,0,C6H6        ,1,,G/H      ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEL,DNSH_POL_TVOC_PHE,Emissions of TVOC to air from the production of phenol,MG/NM3         ,30,5,TVOC        ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEPL,DNSH_POL_OPEROX,For organic peroxides at the outlet of the peroxides decomposition unit,MG/L           ,100,0,C9H12O2     ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEL,DNSH_POL_TVOC_TDI/MDI,Emissions of TVOC to air from the TDI/MDI process,MG/NM3         ,5,1,TVOC        ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEL,DNSH_POL_CCL4_TDI,Emissions of tetrachloromethane to air from the TDI process,G/T            ,0.5,0,CCL4        ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEL,DNSH_POL_CCL4_MDI,Emissions of tetrachloromethane to air from the MDI process,               ,0.7,0,CCL4        ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEL,DNSH_POL_HCL_TDI/MDI,Emissions of HCl to air from the TDI/MDI process,MG/NM3         ,10,2,HCL         ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEL,DNSH_POL_CL2_TDI/MDI,Emissions of Cl2 to air from the TDI/MDI process,MG/NM3         ,1,0,CL2         ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEL,DNSH_POL_PCDD/F_TDI/MDI,Emissions of PCDD/F to air from the TDI/MDI process,NG I-TEQ/NM3   ,0.08,0.025,PCDD/F      ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEPL,DNSH_POL_TOC_TDI/MDI,Discharge to waste water treatment from a TDI or MDI plant,KG/T           ,0.5,0,TOC         ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEL,DNSH_POL_NOX_EDCCF,Pollution to air from NOX from an EDC cracker furnace,MG/NM3         ,100,50,NOX         ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
